"","Family","MorphousSp","MorphousSpKZN","MorphousSpMP","Commonness","Abundance","KZN1","KZN2","KZN3","KZN4","KZN5","KZN6","KZN7","MP1","MP2","MP3","MP4","MP5","MP6","MP7"
"Melyridae_Malachiinae_Urodactylus_consobrinus","Melyridae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Melyridae_Malachiinae_Attalus_divisus","Melyridae",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Melyridae_Malachiinae_Chalicorophasis_sp1","Melyridae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp1","Melyridae",1,1,1,4,10,0,0,0,0,0,5,0,0,0,0,1,1,3,0
"Melyridae_Malachiinae_sp2","Melyridae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp3","Melyridae",1,1,1,3,5,0,0,1,0,0,3,0,0,1,0,0,0,0,0
"Melyridae_Malachiinae_sp4","Melyridae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp5","Melyridae",1,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp6","Melyridae",1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Melyridae_Malachiinae_sp8","Melyridae",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Melyridae_Malachiinae_sp9","Melyridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitidulidae_Cillaeinae_Colopterus","Nitidulidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitidulidae_Nitidulidae_sp1","Nitidulidae",1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nitidulidae_Nitidulidae_sp2","Nitidulidae",1,0,1,2,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Nitidulidae_Nitidulidae_sp3","Nitidulidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitidulidae_Nitidulidae_sp4","Nitidulidae",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Nitidulidae_Nitidulidae_sp5","Nitidulidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Nitidulidae_Nitidulidae_sp6","Nitidulidae",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Nitidulidae_Nitidulidae_sp7","Nitidulidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Salpingidae_Salpingidae_or_Pythidae_Sphaeristes_sp_Sphaeristes_sp","Salpingidae",1,1,0,4,12,0,1,6,0,0,4,1,0,0,0,0,0,0,0
"Salpingidae_Salpingidae_sp2","Salpingidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathridiidae_Corticaria_sp1","Lathridiidae",1,1,1,12,69,12,5,8,6,15,0,7,0,6,5,1,2,1,1
"Lathridiidae_Corticaria_sp2","Lathridiidae",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lathridiidae_Aridius_nodifer","Lathridiidae",1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Lathridiidae_Cartodere_constrictus","Lathridiidae",1,1,1,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Lathridiidae_Lathridiidae_sp1","Lathridiidae",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Silvanidae_Cryptomorpha_desjardinsii","Silvanidae",1,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Silvanidae_Psammoecus_sp1","Silvanidae",1,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Silvanidae_Silvanidae_sp1","Silvanidae",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mordellidae_Mordellidae_sp1","Mordellidae",1,1,1,5,22,0,0,1,0,0,1,0,0,0,0,1,8,11,0
"Mordellidae_Mordellidae_sp2","Mordellidae",1,1,1,8,45,0,1,0,0,0,1,0,0,3,18,3,3,15,1
